handle,id,texto_eliminado,chars
banador-essential-crema,gid://shopify/Product/15828872462720,<li>15% de descuento automático</li>,36
banador-essential-navy,gid://shopify/Product/15828872495488,<li>15% de descuento automático</li>,36
banador-essential-arena,gid://shopify/Product/15828872626560,<li>15% de descuento automático</li>,36
banador-essential-chocolate,gid://shopify/Product/15828872659328,<li>15% de descuento automático</li>,36
banador-essential-burdeos,gid://shopify/Product/15828872692096,<li>15% de descuento automático</li>,36
banador-essential-negro,gid://shopify/Product/15828872429952,<li>15% de descuento automático</li>,36
banador-essential-verde-oliva,gid://shopify/Product/15828872593792,<li>15% de descuento automático</li>,36
banador-essential-piedra,gid://shopify/Product/15828872790400,<li>15% de descuento automático</li>,36
bandana-mascota-essential-crema,gid://shopify/Product/15828879376768,<li>15% de descuento automático</li>,36
bandana-mascota-essential-burdeos,gid://shopify/Product/15828879409536,<li>15% de descuento automático</li>,36
bikini-essential-crema,gid://shopify/Product/15828874264960,<li>15% de descuento automático</li>,36
bikini-essential-burdeos,gid://shopify/Product/15828874428800,<li>15% de descuento automático</li>,36
bikini-essential-arena,gid://shopify/Product/15828874494336,<li>15% de descuento automático</li>,36
bandana-mascota-essential-negro,gid://shopify/Product/15828879344000,<li>15% de descuento automático</li>,36
bikini-essential-chocolate,gid://shopify/Product/15828911063424,<li>15% de descuento automático</li>,36
bikini-essential-negro,gid://shopify/Product/15828874232192,<li>15% de descuento automático</li>,36
bikini-essential-navy,gid://shopify/Product/15828874297728,<li>15% de descuento automático</li>,36
bikini-essential-verde-oliva,gid://shopify/Product/15828874396032,<li>15% de descuento automático</li>,36
bikini-essential-piedra,gid://shopify/Product/15828911096192,<li>15% de descuento automático</li>,36
bomber-essential-burdeos,gid://shopify/Product/15828984398208,<li>15% de descuento automático</li>,36
camiseta-oversized-essential-blanco-vintage,gid://shopify/Product/15828879475072,<li>15% de descuento automático</li>,36
camiseta-oversized-essential-caqui,gid://shopify/Product/15828879507840,<li>15% de descuento automático</li>,36
camiseta-oversized-essential-granate-lavado,gid://shopify/Product/15828879573376,<li>15% de descuento automático</li>,36
bomber-essential-negro,gid://shopify/Product/15828984267136,<li>15% de descuento automático</li>,36
bomber-essential-verde-oliva,gid://shopify/Product/15828984332672,<li>15% de descuento automático</li>,36
chanclas-essential-negro,gid://shopify/Product/15828875411840,<li>15% de descuento automático</li>,36
chanclas-essential-crema,gid://shopify/Product/15828875444608,<li>15% de descuento automático</li>,36
camiseta-oversized-essential-negro-lavado,gid://shopify/Product/15828879442304,<li>15% de descuento automático</li>,36
cojin-essential-negro,gid://shopify/Product/15828996555136,<li>15% de descuento automático</li>,36
cojin-essential-crema,gid://shopify/Product/15828996587904,<li>15% de descuento automático</li>,36
cortavientos-essential-hombre-navy,gid://shopify/Product/15828984430976,<li>15% de descuento automático</li>,36
cortavientos-essential-hombre-arena,gid://shopify/Product/15828984496512,<li>15% de descuento automático</li>,36
cortavientos-essential-hombre-chocolate,gid://shopify/Product/15828984529280,<li>15% de descuento automático</li>,36
cojin-essential-verde-oliva,gid://shopify/Product/15828996620672,<li>15% de descuento automático</li>,36
manta-essential-crema,gid://shopify/Product/15828996653440,<li>15% de descuento automático</li>,36
slides-essential-hombre-negro,gid://shopify/Product/15828874527104,<li>15% de descuento automático</li>,36
slides-essential-hombre-navy,gid://shopify/Product/15828874559872,<li>15% de descuento automático</li>,36
rinonera-essential-negro,gid://shopify/Product/15828911292800,<li>15% de descuento automático</li>,36
rinonera-essential-verde-oliva,gid://shopify/Product/15828911325568,<li>15% de descuento automático</li>,36
manta-essential-navy,gid://shopify/Product/15828996718976,<li>15% de descuento automático</li>,36
